Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
5440,3F Industries,3.9,(139 Reviews),Public,"Prathipadu,Andhra Pradesh + 15 more",62 years old,1k-5k Employees (India),Food Processing,18
5441,RateGain,3.7,(95 Reviews),Private,"London,England + 2 more",18 years old,201-500 Employees (India),Internet,2
5442,Anupam Rasayan I...,4.3,(95 Reviews),Public,"Surat,Gujarat + 7 more",45 years old,201-500 Employees (India),Financial Services,10
5443,Pradan,4.3,(95 Reviews),Private,New Delhi + 22 more,39 years old,201-500 Employees (India),NGO / Social Services / Industry Associations,13
5444,NMDC,4.3,(95 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",64 years old,501-1k Employees (India),Metals & Mining,18
5445,Aditya Birla Ide...,3.8,(95 Reviews),Chennai + 30 more,201-500 Employees (Global),,,Financial Services,15
5446,H-one India,3.8,(95 Reviews),Saitama + 9 more,16 years old,51-200 Employees (India),,Manufacturing,12
5447,Oswal Castings,4.0,(95 Reviews),Private,"Faridabad,Haryana + 2 more",17 years old,51-200 Employees (India),Industrial Equipment / Machinery,15
5448,Viacom18 Media,4.0,(95 Reviews),Private,Mumbai + 8 more,15 years old,1k-5k Employees (India),Media & Entertainment / Publishing,13
5449,ATC Tires,4.0,(95 Reviews),Private,Mumbai + 11 more,15 years old,201-500 Employees (India),Auto Components,18
5450,MosChip Technolo...,4.6,(95 Reviews),Public,Hyderabad + 1 more,23 years old,1k-5k Employees (India),Electronic Components / Semiconductors,15
5451,Ami Lifesciences,3.9,(95 Reviews),Vadodara + 3 more,28 years old,1k-5k Employees (India),,Pharmaceutical & Life Sciences,11
5452,KRYFS POWER COMP...,4.3,(95 Reviews),Private,Mumbai + 10 more,30 years old,201-500 Employees (India),Iron & Steel,19
5453,MGNREGA,3.9,(95 Reviews),New Delhi + 48 more,31 years old,501-1k Employees (India),,Government / Public Administration,3
